,variable,value
1915,AMPACIMON,AMPACIMON
1916,AMPAIRE LTD,AMPAIRE LTD
1917,AMPED CONCEPTS BV,AMPED CONCEPTS BV
1918,Ampegon AG,Ampegon Ag
1919,AMPER S & C IOT SL,AMPER S & C IOT SL
1920,AMPERE POWER ENERGY SL,AMPERE POWER ENERGY SL
1921,AMPHENOL-AIR LB,AMPHENOL-AIR LB
1922,AMPHERA BV,Amphera bav
1923,AMPHI INTERNATIONAL APS,Amphi International Aps.
1924,AMPHINICY DOO ZA RACUNALNE AKTIVNOSTI I ZASTUPANJE,AMPHINICY doo for computer activity and representation
1925,AMPHIRO AG,AMPHIRO AG
1926,AMPHOS 21 CONSULTING SL,AMPHOS 21 CONSULTING SL
1927,AMPHOS 21 GROUP SL,AMPHOS 21 GROUP SL
1928,AMPHOS GMBH,Amphos GmbH
1929,AMPIDO GMBH,Ampido GmbH
1930,AMPLICONYX OY,AMPLICONYX OY
1931,AMPLITUDE SYSTEMES SA,Amplitude SYSTEMS SA
1932,AMPLITUDE TECHNOLOGIES SA,Amplitude Technologies SA
1933,AMPO S COOP,Pray s coop
1934,AMPOWER,AMPOWER
1935,AMPRION GMBH,AMPRION GMBH
1936,AMPULZ  B.V.,AMPULZ  B.V.
1937,AMPYX POWER BV,AMPYX POWER BV
1938,AMR PROPULSION INNOVATIONS GMBH,AMR missing innovation GmbH
1939,AMR-G SMART WATER METERS LTD,AMR-G SMART WATER METERS LTD
1940,AMRA - ANALISI E MONITORAGGIO DEL RISCHIO AMBIENTALE SCARL,Amra - Scarl environmental risk analysis and monitoring
1941,AMRA MEDICAL AB,We are medical
1942,AMRA-Analysis and monitoring of env,AMRA-Analysis and monitoring of env
1943,AMRITA VISHWA VIDYAPEETHAM,Amrita Vishwa Vidyapeetham
1944,AMRKS,MARKS
1945,AMS AG,AMS AG
1946,AMS NETHERLANDS B.V.,Anush Natlands BV
1947,AMS SENSORS BELGIUM,AMS SENSORS BELGIUM
1948,AMS SENSORS GERMANY GMBH,AMS SENSORS GERMANY GMBH
1949,AMS SENSORS PORTUGAL UNIPESSOAL LDA(ZONA FRANCA DA MADEIRA),AMS Sensors Portugal Unipessoal Lda (Franca da Madeira)
1950,AMS SENSORS UK LIMITED,AMS SENSORS UK LIMITED
1951,AMS TECHNOLOGIES AG,AMS TECHNOLOGIES AG
1952,AMSTERDAM SCIENTIFIC INSTRUMENTS BV,AMSTERDAM SCIENTIFIC INSTRUMENTS BV
1953,AMSTERDAM UNIVERSITY PRESS BV,AMSTERDAM UNIVERSITY PRESS BV
1954,AMSYS LTD,AMSYS LTD
1955,AMT DER NIEDEROSTERREICHISCHEN LANDESREGIERUNG,Office of the Low Easter Provincial Government
1956,Amt der steiermärkischen Landesregierung (Office of the Regional Government of Styria),Office of the Steiermärkische Provincial Government (Office of the Regional Government of Styria)
1957,Amt für Umwelt Kanton Thurgau,Office for the Environment Canton Thurgau
1958,AMT KALTETECHNIK GMBH,Office Kaltetechnik GmbH
1959,AMT MEDICAL RESEARCH BV,Amt Medical Research BV
1960,AMV DESIGN SRL,Amv Design SrL
1961,AMW Nützlinge GmbH,AMW NAFTLINGE GmbH
1962,AMYPORE,AMY MY
1963,AN BORD BIA,In board bia
1964,AN GARDA SIOCHANA,AN GARDA SIOCHANA
1965,AN TAISCE-THE NATIONAL TRUST FOR IRELAND,AN TAISCE-THE NATIONAL TRUST FOR IRELAND
1966,AN TUDARAS UM ARD OIDEACHAS,The Higher Education Tudar
1967,AN-NAJAH NATIONAL UNIVERSITY,We succeed Nashhen Anime
1968,ANABIO TECHNOLOGIES LTD,ANABIO TECHNOLOGIES LTD
1969,ANADIAG,Recess
1970,ANADOLU ISUZU OTOMOTIV SANAVII VE TICARET ANONIM SIRKETI,Anadolu ISUZU OTOMOTIV SENVII AND TICARET INO SILITY
1971,ANADOLU UNIVERSITY,ANATOLU UNIVERSITY
1972,ANALISTAS FINANCIEROS INTERNACIONALES SA,International Financial Analysts SA
1973,ANALOG DEVICES INTERNATIONAL UNLIMITED COMPANY,ANALOG DEVICES INTERNATIONAL UNLIMITED COMPANY
1974,ANALYSIS AND MEASUREMENT SERVICES CORPORATION,ANALYSIS AND MEASUREMENT SERVICES CORPORATION
1975,ANALYTICON DISCOVERY GMBH,ANALYTICON DISCOVERY GMBH
1976,ANALYTICS ENGINES LIMITED,ANALYTICS ENGINES LIMITED
1977,ANANAS NANOTECH,Ananas Nanotech
1978,ANANDA PHARMA GMBH,Ananda Firma Gabba
1979,ANAPTIXIAKI ANONIMI ETAIRIA DIACHIRISIS APORRIMATON ANOTILIKIS MAKEDONIAS-THRAKIS AE - DIAAMATH,Developmental Anonymous Litter Career Company of Anterioriti Macedonia-Thrace SA - DIATAGE
1980,ANAPTYKSIAKH BOLOY ANAPTYKSIAKH ANONYMH ETAIRIA (AE),Development Volos Development Anonymous Company (SA)
1981,ANAPTYXIAKH MESSINIAS ANAPTYXIAKH AE,Developmental Messinia Development AE
1982,ANAPTYXIAKI DIADIMOTIKI ETERIA PSIFIAKES POLIS KENTRIKIS ELLADAS AE OTA (INTERMUNICIPAL DEVELOPMENT COMPANY DIGITAL CITIES OF CENTRAL GREECE SA),Developmental Interesting Hetering Digital City of Central Greece AE TA (InnerMipal Delegation Konaton DIGITAL KITHIES OTHRALS GREECE)
1983,ANAPTYXIAKI DYTIKIS MAKEDONIAS ANAPTYXIAKI ANONYMI ETAIREA OTA,Development Western Macedonia Development Anonymous Company OTA
1984,ANAPTYXIAKI EPIMELITIRIOU KORINTHIAS,Development Chamber of Corinthia
1985,ANAPTYXIAKI ETAIREIA DIMOU TRIKKAION ANAPTYXIAKI ANONYMI ETAIREIA OTA,Development Company Municipality of Trikkas Developmental Societe Anonyme OTA
1986,ANAPTYXIAKI ETAIREIA EPARCHION LARNAKAS - AMMOCHOSTOU LTD,Development Company Provincial Larnaca - Famagusta Ltd
1987,ANAPTYXIAKI ETAIREIA LEFKOSIAS (ANEL) LTD,Nicosia Development Company (ANEL) Ltd
1988,ANAPTYXIAKI ETAIREIA NOMOU THESSALONIKI AE,Development Company Law Thessaloniki SA
1989,ANAPTYXIAKI KARDITSAS ANAPTYXIAKI ANONIMI ETAIRIA O.T.A,Anaptyxiaki Karditsas Anaptyxiaki Anonimi Etairia O.T.A
1990,ANAPTYXIAKI MEIZONOS ASTIKIS THESSALONIKIS-ANAPTYXIAKI ANONYMI ETAIREIA OTA,Developmental Major Urban Thessaloniki-Developmental Societe Anonyme OTA
1991,ANAS SPA,ANAS SPA
1992,ANASEN,Anasan
1993,ANATOMY NEXT SIA,ANATOMY NEXT SIA
1994,Anatoscope,Anatoscope.
1995,ANAVS GMBH,ANAVS GmbH
1996,ANAXOMICS BIOTECH SL,ANAXOMICS BIOTECH SL
1997,ANAXSYS TECHNOLOGY LIMITED,ANAXSYS TECHNOLOGY LIMITED
1998,ANB SENSORS LIMITED,ANB SENSORS LIMITED
1999,ANCI ASSOCIAZIONE REGIONALE COMUNI ITALIANI LAZIO,ANCI Regional Association of Italian Municipalities Lazio
2000,ANCI SARDEGNA,ANCI SARDINIA
2001,ANCI TOSCANA ASSOCIAZIONE,Anci Toscana Association
2002,ANCITEL ENERGIA E AMBIENTE SPA,ANCITEL ENERGY AND ENVIRONMENT SPA
2003,ANCITEL SPA,ANCITEL SPA
2004,ANCOSYS GMBH,Ancosys GmbH
2005,ANCRA SYSTEMS BV,ANCRA SYSTEMS BV
2006,AND CONSULTING GROUP,AND CONSULTING GROUP
2007,ANDERLINI MECCANICA SRL,Anderlini Meccanica srl
2008,ANDERSEN NIELS,Andersen Niels.
2009,ANDHEO,Andheo
2010,ANDOR TECHNOLOGY LIMITED,ANDOR TECHNOLOGY LIMITED
2011,ANDOYA SPACE AS,ANDOYA SPACE AS
2012,ANDRE MYSYROWICZ CONSULTANTS,Other Mysyrowicz Consultants
2013,ANDREAS PAPADAKIS NAUTILIAKES KAI EMPORIKES EPICHEIRISEIS MONOPROSOPI ETAIREIA PERIORISMENHS EFTHINIS,Andreas Papadakis Shipping and Commercial Enterprises MONOPROSOPI Limited Liability Company
2014,ANDRIES GEERSE STEDENBOUWKUNDIGE BV,Andries Geerse urban development bv
2015,ANDRIESSEN CORNELIS CHRISTIAAN JACOB,Andriessen Cornelis Christiaan Jacob
2016,ANDRIESSEN JEFFREY ELBERTUS BARTHOLOMEUS,Andriessen Jeffrey Elbertus Bartholomeus
2017,ANDRITZ AG,ANDRITZ AG
2018,ANDRITZ HYDRO AG,ANDRITZ HYDRO AG
2019,ANDRITZ HYDRO GMBH,ANDRITZ HYDRO GMBH
2020,ANDRITZ OY,Andritz Oy
2021,ANDRITZ POWERLASE LIMITED,ANDRITZ POWERLASE LIMITED
2022,ANECOOP SOCIEDAD COOPERATIVA,Anecoop Cooperative Society
2023,ANECTO LIMITED,ANECTO LIMITED
2024,ANER SISTEMAS INFORMATICOS SL,Aner Computer Systems SL
2025,ANERDGY AG,Anerdgy at
2026,ANG ALBERTO NICOLINI GROUP SRL,ANG ALBERTO NICOLINI GROUP SRL
2027,ANGEL CONSULTING SAS DI MATTEO ZANOTTI RUSSO & C,Angel Consulting Sas by Matteo Zanotti Russian & C
2028,ANGEL RUIZ IBANEZ S.A.,ANGEL RUIZ IBANEZ S.A.
2029,ANGIOTARGET BV,Angiotarganet Bow
2030,ANGLATECNIC SL,Anglatecnic SL
2031,ANGLE EUROPE LIMITED,ANGLE EUROPE LIMITED
2032,ANGLIA FARMERS LIMITED,ANGLIA FARMERS LIMITED
2033,ANGLIA RUSKIN UNIVERSITY HIGHER EDUCATION CORPORATION,ANGLIA RUSKIN UNIVERSITY HIGHER EDUCATION CORPORATION
2034,ANGLO AMERICAN PLC,ANGLO AMERICAN PLC
2035,ANGLO BEEF PROCESSORS UK,ANGLO BEEF PROCESSORS UK
2036,ANGLO BELGIAN CORPORATION,ANGLO BELGIAN CORPORATION
2037,ANGULAR VELOCITY OY,ANGULAR VELOCITY OY
2038,ANHEUSER-BUSCH INBEV,ANHEUSER-BUSCH INBEV
2039,ANHUI AGRICULTURAL UNIVERSITY,ANHUI AGRICULTURAL UNIVERSITY
2040,"ANI - AGENCIA NACIONAL DE INOVACAO, SA","Ani - Inovacao National Agency, SA"
2041,ANIGMOTEH PODJETJE ZA RAZISKAVE IN RAZVOJ DOO,Anigmoteh Research and Development Company doo
2042,ANIMA - FEDERAZIONE DELLE ASSOCIAZIONI NAZIONALI DELLINDUSTRUSTRIA MECCANICA VARIA ED AFFINE,Soul - Federation of National Associations of the Mechanical Industry Various and Affine
2043,ANIMA EXPRESS-YOURSELF,ANIMA EXPRESS-YOURSELF
2044,Animal Vegetable Mineral Limited,Animal Vegetable Mineral Limited
2045,ANIMALHEALTHEUROPE,ANIMALHEALTHEUROPE
2046,ANIMALIA AS,ANIMALIA AS
2047,ANIMATED LANGUAGE LEARNING LIMITED,ANIMATED LANGUAGE LEARNING LIMITED
2048,ANIMUS KENTRO APOTHERAPEIAS KAI APOKATASTASIS ANONYMI ETAIRIA,ANIMOS Recovery and Rehabilitation Center Anonymous Company
2049,ANIWAY OY,Aniway Oy
2050,ANKARA BUYUKSEHIR BELEDIYE BASKANLIGINA,Ankara Buyuksehır Municipable Practice
2051,"ANKARA ELEKTRIK, HAVAGAZI VE OTOBUSISLETME MUESSESESI","Ankara electric, gas and buseshoeses"
2052,ANKARA KALKINMA AJANSI,A harsh lousily for your period
2053,ANKARA SANAYI ODASI,Ankara Sensitaire Room
2054,ANKARA SOSYAL BILIMLER UNIVERSITESI,Ankara Social British UNIVERSITES
2055,ANKARA UNIVERSITESI,ANKARA UNIVERSITY
2056,ANKARA YILDIRIM BEYAZIT UNIVERSITESI,Ankara Lightning Beyazit UNIVERSITES
2057,ANLEG GMBH,Army
2058,Anna Buxaderas Riorola,Anna Buxaderas Riorola
2059,ANNA GUSSAROVA,I'm an area
2060,ANNA REGINE OSANN JAEGER,Anna Regine Osann Jaeger
2061,ANNA UNIVERSITY CHENNAI,University of University Chennai
2062,ANNAIDA TECHNOLOGIES SARL,Anna Ida Technologies Sar L
2063,ANNEALSYS SAS,An annealing
2064,ANNEO TECHNOLOGIES SL,ANNEO TECHNOLOGIES SL
2065,Annogen B.V.,Encourage B.v.
2066,ANOCCA AB,AB
2067,ANOIKTO PANEPISTIMIO KYPROU (OPEN UNIVERSITY OF CYPRUS),Open University of Cyprus (Open Highest Of Cyprus)
2068,ANOIXTO ERGASTIRIO ATHINAS ASTIKI MI KERDOSKOPIKI ETAIREIA,Open Laboratory Athens Urban Non-Profit Company
2069,ANONIMI ETAIRIA DIAXEIRISIS ANANEOSIMON PIGON ENERGEIAS,Anonymous Renewable Energy Management Company
2070,ANONIMI ETAIRIA PERIVALLONTIKON KAIENERGIAKON MELETON KAI ANAPTIXIS LOGISMIKOU,Anonymous Environmental Software and Software Development Company
2071,ANONIMI NAFTILIAKI ETERIA KRITIS (ANEK) S.A.,Anonymous Maritime Hetera of Crete (ANEK) SA
2072,ANONTEC INFOSYSTEMS LTD,ANONTEC INFOSYSTEMS LTD
2073,ANONYMI ETAIREIA DIACHEIRISIS APORRIMMATON PER DYTIKIS MAKEDONIAS,Refuse Management Company of Western Macedonia
2074,"ANONYMI ETAIREIA VIOMICHANIKIS EREVNAS, TECHNOLOGIKIS ANAPTYXIS KAI ERGASTIRIAKON DOKIMON, PISTOPIISIS KAI PIOTITAS","Anonymous Industrial Research, Technological Development and Laboratory Testing, Certification and Mitamis"
2075,"ANONYMOS ETAIREIA KATASKEVON-TECHNIKON ERGON, EMPORIKON, VIOMICHANIKONKAI NAUTILIAKON EPICHEIRISEON KONKAT","Anonymous Construction-Technical Construction Company, Commercial, Industrial and Shipping Business Concert"
2076,ANOTATI SCHOLI KALON TECHNON,Anostate Scholi passes Technon
2077,"Anotec Engineering, S.L.","Anotec Engineering, S.L."
2078,ANOTHER BRAIN,ANOTHER BRAIN
2079,ANOVA PLUS,ANOVA PLUS
2080,ANRA TECHNOLOGIES UK LTD,ANRA TECHNOLOGIES UK LTD
2081,ANRITSU EMEA LIMITED,ANRITSU EMEA LIMITED
2082,ANSABERE SURGICAL SL,ANSABERE SURGICAL SL
2083,ANSALDO ENERGIA SPA,Ansaldo Energia SpA
2084,ANSALDO ENERGIA SWITZERLAND AG,Ansaldo Energia Switzerland AG
2085,ANSALDO NUCLEARE SPA,Ansaldo nuclear spa
2086,ANSALDOBREDA S.P.A.,Ansaldobreda s.p.a.
2087,ANSEM,ANSEM
2088,ANSERLOG S.A.,ANSERLOG S.A.
2089,Ansilta S.A.,Ansilta S.A.
2090,ANSUR TECHNOLOGIES AS,The US Technologies
2091,ANSWARETECH SL,Response
2092,ANSYS FRANCE SAS,ANSYS FRANCE SAS
2093,ANSYS GERMANY GMBH,ANSYS GERMANY GMBH
2094,ANSYS MEDINI TECHNOLOGIES AG,Ansys Medini Technologies at
2095,ANSYS UK LIMITED,ANSYS UK LIMITED
2096,Antabio SAS,Install
2097,ANTAIOS,Antaeus
2098,ANTALYA METROPOLITAN MUNICIPALITY,ANTALYA METROPOLITAN MUNICIPALITY
2099,ANTALYA TEKNOKENT YONETICI VE ISLETICI ANOMIM SIRKETI,Antalya Teknokent Management and Wetme Anonym Side
2100,ANTALYA TICARET VE SANAYI ODASI,Antalya TICARET AND SENAYAY Chamber
2101,ANTARES CONSULTING SL,ANTARES CONSULTING SL
2102,ANTARES SOCIETA CONSORTILE ARL,Antares Company Consortium Arl
2103,ANTARES VISION SRL,Antares VISION SRL
2104,ANTAROS MEDICAL AB,Antaros Medical AB
2105,ANTAVO LIMITED,ANTAVO LIMITED
2106,ANTEA BELGIUM,PREVIOUSLY NETHERLANDS
2107,ANTEA FRANCE,PREVIOUSLY France
2108,ANTEA NEDERLAND BV,Antea Nederland BV
2109,ANTEA SRL,PREVIOUSLY Srl
2110,Antec Leyden BV,Antec Leyden BV
2111,ANTEC MAGNETS SOCIEDAD LIMITADA,Antec Magnets Sociedad Limitada
2112,ANTECNICA SRLS,ANTECNICA SRLS
2113,ANTEGON GMBH,Antegon GmbH
2114,ANTELOPE DX,ANTELOPE DX
2115,ANTENNA AUDIO LIMITED,ANTENNA AUDIO LIMITED
2116,ANTENNA LTD,ANTENNA LTD
2117,ANTEPE INSAAT VE TICARET ANONIM SIRKETI,Antepe Construction and Condominium Anonum SILK
2118,Anteral,Anteral
2119,ANTERAL SL,ANTERAL SL
2120,ANTERYON BV,Anteryon BV.
2121,ANTEVERTA-MW BV,We produce
2122,ANTEVERTI CONSULTING SL,Anterti Consulting SL
2123,ANTHESIS (UK) LIMITED,ANTHESIS (UK) LIMITED
2124,ANTHOGYR SAS,Your flower
2125,"ANTHONY, PATRICK & MURTA-EXPORTACAO LDA","Anthony, Patrick & Murta-Exportacao LDA"
2126,ANTI MICROBIAL PEPTIDE BIOTECHNOLOGIES SL,ANTI MICROBIAL PEPTIDE BIOTECHNOLOGIES SL
2127,ANTIBODIES FOR RESEARCH APPLICATIONS BV,ANTIBODIES FOR RESEARCH APPLICATIONS BV
2128,Antidot,Antidote
2129,ANTMICRO SP ZOO,ANTMICRO SP ZOO
2130,ANTOFENOL,ANTOFENOL
2131,ANTON PAAR GMBH,Anton couple gmbh
2132,ANTONETTI NADIA,Antonetti Nadia
2133,"ANTONIO ABREU METALOMECANICA,LDA.","Antonio Abreu Metalomecanica, LDA."
2134,ANTONIO LONGARITO LDA,Antonio Longarito Lda
2135,ANTPROJECT TVIP SL,Antproject tvip Sl
2136,ANTREAS TH. KARAVASILIS GEORGIOS M.TSAKOUMIS KAI SIA E.E.,ANDREAS TH. KARASVASILIS GEORGIOS M.TATAKOUMIS KE SIA E. E.
2137,ANTROPOLOGERNE APS,Anthropologists ApS.
2138,ANTWERP MANAGEMENT SCHOOL,ANTWERP MANAGEMENT SCHOOL
2139,ANTWERP SPACE N.V.,ANTWERP SPACE N.V.
2140,ANVIL SEMICONDUCTORS LTD,ANVIL SEMICONDUCTORS LTD
2141,ANVO-SYSTEMS DRESDEN GMBH,Anvo-Systems Dresden GmbH
2142,ANWENDUNGSZENTRUM GMBH OBERPFAFFENHOFEN,Application Center GmbH Oberpfaffenhofen
2143,ANY-SHAPE - ADDITIVE TECHNOLOGIES FOR INDUSTRY,ANY-SHAPE - ADDITIVE TECHNOLOGIES FOR INDUSTRY
2144,ANYBODY TECHNOLOGY AS,ANYBODY TECHNOLOGY AS
2145,ANYBOTICS AG,ANYBOTICS AG
2146,ANYSOLUTION SL,Anysolution Fig
2147,ANYWI TECHNOLOGY BV,ANYWI TECHNOLOGY BV
2148,ANZAC HEALTH AND MEDICAL RESEARCH FOUNDATION,ANZAC HEALTH AND MEDICAL RESEARCH FOUNDATION
2149,ANZBOCK RICHARD,ANZBOCK RICHARD
2150,ANZIANI E NON SOLO SOCIETA COOPERATIVA SOCIALE,Seniors and not just social cooperative society
2151,AO-FORSCHUNGSINSTITUT DAVOS,AO Research Institute Davos
2152,AOIFE SOLUTIONS,Aoi Fuyo Song S
2153,AOK NORDOST - DIE GESUNDHEITSKASSE,AOK Northeast - the health insurance
2154,AON SPA INSURANCE & REINSURANCE BROKERS,Any SPA Insurance & Rinsurance Brokers
2155,AON UK LIMITED,UK LIMITED
2156,AOPA GERMANY VERBAND DER ALLGEMEINEN LUFTFAHRT EV,AOPA Germany Association of general aviation eV
2157,AOPP,AOPP
2158,AORTYX SL,Aortyx Fig
2159,AP MARINE ENVIRONMENTAL CONSULTANCY LTD,AP MARINE ENVIRONMENTAL CONSULTANCY LTD
2160,AP SENSING GMBH,You Sensing Rock
2161,AP&S INTERNATIONAL GMBH,You & C International Rock
2162,APA NOVA BUCURESTI SA,Water Nova Bucharest SA
2163,APA PARAFRICTA LTD,What is Parafrica Ltd.
2164,APA-IT INFORMATIONS TECHNOLOGIE GMBH,APA-IT Information Technology GmbH
2165,Apconix,Apconix
2166,APDL - ADMINISTRACAO DOS PORTOS DODOURO E LEIXOES SA,APDL - Administration of Ports Dodouro and Leixoes SA
2167,APE ANGEWANDTE PHYSIK UND ELEKTRONIK GMBH,Ape Applied Physics and Electronics GmbH
2168,APEA - ASSOCIACAO PORTUGUESA DE ENGENHARIA DO AMBIENTE,APEA - Portuguese Association of Environment Engineering
2169,APEIRON BIOLOGICS AG,APEIRON BIOLOGICS AG
2170,APEIRON SYNTHESIS SPOLKA AKCYJNA,APEIRON Synthesis joint joint
2171,APEPTICO FORSCHUNG UND ENTWICKLUNG GMBH,Apeptico Research and Development GmbH
2172,APERAM R&D,APERAM R & D
2173,APERAM STAINLESS FRANCE SA,APERAM STAINLESS FRANCE SA
2174,APERAM STAINLESS FRANCE SASU,APERAM STAINLESS FRANCE SASU
2175,APERILINK LIMITED,Aperink Limited
2176,APERIO SOFWARE LIMITED,APERIO SOFWARE LIMITED
2177,APERITIVOS Y EXTRUSIONADOS SAU,SAU appetizers and extruded
2178,APERTUM IT AB,OPEN IT AB
2179,APERTUS - ASSOCIATION SUPPORTING OPEN AND FREE AUDIOVISUAL MEDIA AND TECHNOLOGY,APERTUS - ASSOCIATION SUPPORTING OPEN AND FREE AUDIOVISUAL MEDIA AND TECHNOLOGY
2180,APEVA SE,Apeva se
2181,APEXAGRI SAS,Your out
2182,APF SOLUCIONES DE GESTION SL,APF Management Solutions SL
2183,APFUTURA INTERNACIONAL SOLUCIONES SL,APFUTURA INTERNACIONAL SOLUTIONS SL
2184,APHOI KOUMANAKOU & SIA EE,APHOI HANDAKOU & SIA EE
2185,API AGRO,Agro fire
2186,API EUROPE MONOPROSOPI ETAIREIA PERIORISMENIS EFTHINIS YPIRESION EREVNAS KAI MELETIS STIN VIOTECHNOLOGIA,Seventh Europe MONOPROSOPI Limited Liability Survey and Study Services in Biotechnology
2187,APICBASE,APICBASE
2188,Apierian Limited,Apierian Limited
2189,APINF OY,APINF Oy
2190,APIO S.R.L.,Apio S.r.L.
2191,APIOSOFT APS,Apiosoft ApS.
2192,APIS EUROPA,APIs Europe
2193,APIS HRISTOVICH EOOD,APIS HRISTOVIECH LTD
2194,APISUISSE,Apisuisness
2195,APITIC,APITIC
2196,APITOPE INTERNATIONAL NV,APITOPE INTERNATIONAL NV
2197,APIVITA KALLYNTIKA DIAITITIKA FARMAKA ANONYMI EMPORIKI KAI VIOTECHNIKI ETAIREIA,DRIVITY Cosmetics Dietary Medicines Anonymous Commercial and Craft Company
2198,APIZEE,Apiza.
2199,APK ARCHITECTS & ENGINEERS LIMITED,APK ARCHITECTS & ENGINEERS LIMITED
2200,APLCOMP OY,APLCOMP Oy
2201,APLEONA HSG GMBH,Apleona hsg gmbh
2202,APLICA INVESTIGACION Y TRASLACION S. COOP. MAD.,Aplica Investigacion Y Traslacion S. Coop. Mad.
2203,APLICACIONES TECNICAS DE LA ENERGIASL,Technical applications of energy
2204,APLICACIONS DE LA CATALISI SL,Applications of catalysis SL
2205,APLINKOS APSAUGOS AGENTURA,ENVIRONMENTAL PROTECTION AGENCY
2206,APLINKOSAUGOS VALDYMO IR TECHNOLOGIJU CENTRAS VIESOJI ISTAIGA,Environmental Management and Technology Center for Wies
2207,APO-PHARMA INC CORP,APO- Pharma Inc CO
2208,APODIUS GMBH,Apodius GmbH
2209,APOFAS BIOTECH,Apofas biotech
2210,APOFRUIT ITALIA - SOC. COOP. AGRICOLA,ApoFruit Italia - SOC. Coop. Agricultural
2211,APOGEE INFORMATION SYSTEMS,APOGEE INFORMATION SYSTEMS
2212,Apogenix,Unprick
2213,APOLITICAL GROUP LIMITED,APOLITICAL GROUP LIMITED
2214,APOLLON SOLAR,APOLLON SOLAR
2215,APOSS-ANALIZE POUZDAKOSTI I SIGURNOSTI SUSTAVA DRUSTVO S OGRANICENOM ODGOVORNOSCU ZA USLUGE I INZENJERING,Aposs-analysis of confidence and security system Society with limited service responsibility for services and inzenjering
2216,APOSTOLOS PAPADOPOULOS KAI SIA OE,Apostolos Papadopoulos and Sia the
2217,APPART AE NEW TECHNOLOGIES COMPUTER AND TELECOMMUNICATIONS,APPART AE NEW TECHNOLOGIES COMPUTER AND TELECOMMUNICATIONS
2218,APPATWORK GMBH,Appatwork GmbH
2219,APPEAR NETWORKS SYSTEMS AB,APPEAR NETWORKS SYSTEMS AB
2220,APPENTRA SOLUTIONS SL,APEAL SOLUTIONS SL
2221,APPINUX A/S,Appinux A / S
2222,APPITAD - ASSOCIACAO DOS PRODUTORES EM PROTECAO INTEGRADA DE TRAS-OS-MONTES E ALTO DOURO,Appitad - Association of Producers in Integrated Protection of Tras-Os-Montes and High Douro
2223,APPLICATIONS DES SCIENCES DE LACTION,Applications of the sciences
2224,APPLICATIONS PLASTIQUES DU RHONE SAS,PLASTIC APPLICATIONS OF RHONE SAS
2225,APPLIED AUTONOMY AS,APPLIED AUTONOMY AS
2226,APPLIED CAVITATION TECHNOLOGIES LTD,APPLIED CAVITATION TECHNOLOGIES LTD
2227,APPLIED COMPUTING & ENGINEERING LIMITED,APPLIED COMPUTING & ENGINEERING LIMITED
2228,APPLIED GENOMICS LTD,APPLIED GENOMICS LTD
2229,APPLIED INDUSTRIAL TECHNOLOGIES (APINTECH),APPLIED INDUSTRIAL TECHNOLOGIES (APINTECH)
2230,APPLIED INDUSTRIAL TECHNOLOGIES LTD,APPLIED INDUSTRIAL TECHNOLOGIES LTD
2231,APPLIED INSPECTION LIMITED,APPLIED INSPECTION LIMITED
2232,APPLIED INTELLIGENCE ANALYTICS LIMITED,APPLIED INTELLIGENCE ANALYTICS LIMITED
2233,APPLIED MANUFACTURING SCIENCE SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,Applied Manufacturing Science from Limited Responsibility
2234,APPLIED MATERIALS BELGIUM,APPLIED MATERIALS BELGIUM
2235,APPLIED MATERIALS FRANCE,APPLIED MATERIALS FRANCE
2236,APPLIED MATERIALS GMBH,APPLIED MATERIALS GMBH
2237,APPLIED MATERIALS GMBH & CO KG,APPLIED MATERIALS GMBH & CO KG
2238,APPLIED MATERIALS IRELAND LIMITED,APPLIED MATERIALS IRELAND LIMITED
2239,APPLIED MATERIALS ISRAEL LTD,APPLIED MATERIALS ISRAEL LTD
2240,APPLIED MATERIALS ITALIA SRL,Applied Materials Italia srl
2241,APPLIED MATHS NV,APPLIED MATHS NV
2242,APPLIED NANO SURFACES SWEDEN AB,APPLIED NANO SURFACES SWEDEN AB
2243,APPLIED NANOLAYERS BV,APPLIED NANOLAYERS BV
2244,APPLIED NANOPARTICLES SL,APPLIED NANOPARTICLES SL
2245,APPLIED PRECISION SRO,APPLIED PRECISION SRO
2246,APPLIED PROCESS COMPANY LIMITED,APPLIED PROCESS COMPANY LIMITED
2247,APPLIED RESEARCH AND COMMUNICATIONS FUND,APPLIED RESEARCH AND COMMUNICATIONS FUND
2248,APPLIED RESEARCH INSTITUTE JERUSALEM ASSOCIATION,APPLIED RESEARCH INSTITUTE JERUSALEM ASSOCIATION
2249,APPLIED RESEARCH TO TECHNOLOGIES SRL,APPLIED RESEARCH TO TECHNOLOGIES SRL
2250,APPLIED RESEARCH USING OMIC SCIENCES SL,APPLIED RESEARCH USING OMIC SCIENCES SL
2251,APPLIED SECURITY GMBH,APPLIED SECURITY GMBH
2252,APPLOADING SL,Upho-loading script
2253,APPLUS NORCONTROL SL,Applus NorControl SL
2254,APPLUS RVIS B.V.,Appleus Rvick V.V.
2255,APPLYNANO SOLUTIONS S.L.,APPLYNANO SOLUTIONS S.L.
2256,APPO ORGANIZZAZIONE DEI PRODUTTORIOLIVICOLI - SOCIETA COOPERATIVA AGRICOLA,APPO Production of producers - Agricultural cooperative society
2257,"APPPEX PRODUCT DEVELOPMENT, PROTOTYPES, PARTS GMBH","APPPEX PRODUCT DEVELOPMENT, PROTOTYPES, PARTS GMBH"
